14-05-2019:11:34:13,786 INFO [logs.py:32] hahaha
14-05-2019:11:38:08,10 INFO [logs.py:32] hahaha
14-05-2019:11:38:28,405 INFO [test_2.py:29] APP建立连接完成
14-05-2019:11:38:39,486 INFO [test_2.py:44] 执行测试用例
14-05-2019:11:38:49,615 INFO [test_2.py:49] 执行测试用例
14-05-2019:11:38:59,722 INFO [test_2.py:54] 执行测试用例
14-05-2019:11:39:11,354 INFO [test_2.py:36] app关闭
14-05-2019:11:43:26,281 INFO [logs.py:32] hahaha
14-05-2019:11:43:45,655 INFO [test_2.py:29] APP建立连接完成
14-05-2019:11:43:55,776 INFO [test_2.py:44] 执行测试用例
14-05-2019:11:44:06,38 INFO [test_2.py:49] 执行测试用例
14-05-2019:11:44:17,19 INFO [test_2.py:54] 执行测试用例
14-05-2019:11:44:27,161 INFO [test_2.py:59] 执行测试用例
14-05-2019:11:44:38,815 INFO [test_2.py:36] app关闭
